thalnum,Easting,Northing,elevation
%d,%f,%f,%f
1,651339.3743,4862279.848,176.507
2,651353.925,4862247.047,175.229
3,651359.6893,4862233.124,176.629
4,651423.4115,4862140.723,171.952
5,651454.1869,4862081.044,170.207
6,651493.6952,4862021.838,170.557
7,651513.8799,4861927.418,169.574
8,651535.0134,4861865.762,163.325
9,651633.7877,4861775.323,160.701
10,651731.9827,4861706.509,162.243
11,651775.3974,4861685.242,153.308
12,651816.6676,4861646.505,152.352
13,651824.0536,4861625.215,150.926
14,651864.1267,4861619.151,151.434
15,651879.9151,4861585.758,150.053
16,651906.4829,4861584.91,149.118
17,651915.74,4861545.999,151.423
18,651905.1305,4861521.324,147.091
19,651928.8043,4861520.256,148.09
20,651931.2514,4861482.821,150.499
21,651916.7701,4861430.78,148.387
22,651941.862,4861410.338,150.09
23,651967.1741,4861396.505,146.32
24,651986.2945,4861340.928,146.541
25,652018.0971,4861287.094,147.793
26,651981.4459,4861223.732,146.316
27,651973.1034,4861153.95,146.817
28,651998.754,4861057.189,148.109
29,651981.7656,4861032.159,146.444
30,651981.4818,4860984.646,145.008
31,652025.952,4860917.964,145.459
32,652052.1188,4860915.117,146.723
33,652098.6516,4860929.4,142.013
34,652115.4346,4860941.453,141.168
35,652113.6687,4860967.051,138.022
36,652131.5788,4860995.294,135.53356
37,652133.967,4860994.293,135.427638
38,652132.8456,4860992.67,135.646365
39,652132.0141,4860991.544,135.526991
40,652133.2859,4860988.697,135.563798
41,652134.2492,4860985.998,135.506684
42,652134.2362,4860984.604,135.680371
43,652136.8871,4860983.492,135.510607
44,652139.4288,4860983.062,135.539867
45,652138.6703,4860981.023,135.468469
46,652138.6673,4860980.214,135.499133
47,652140.3583,4860978.951,135.284096
48,652140.8659,4860977.683,135.283355
49,652142.0548,4860976.192,135.245141
50,652142.5621,4860974.114,135.467186
51,652142.9055,4860972.559,135.486653
52,652143.2417,4860970.33,135.397023
53,652144.5447,4860968.558,135.167939
54,652145.8971,4860967.893,135.02757
55,652147.0052,4860966.803,134.929309
56,652148.4916,4860965.141,135.218806
57,652150.4545,4860963.371,135.215671
58,652154.5727,4860961.52,135.414024
59,652157.2049,4860961.108,135.25005
60,652160.7251,4860961.292,134.855966
61,652162.3983,4860962.493,134.937481
62,652163.0134,4860964.356,135.196812
63,652163.6581,4860965.364,135.340332
64,652163.5455,4860966.936,135.241867
65,652163.0769,4860968.857,135.001715
66,652164.1715,4860970.273,135.089148
67,652164.7711,4860971.366,135.040447
68,652165.8286,4860972.293,134.977162
69,652167.6134,4860975.051,134.779653
70,652171.423,4860976.13,135.027408
71,652176.0602,4860978.265,134.58727
72,652177.5586,4860979.609,134.555615
73,652178.589,4860981.652,134.473921
74,652178.3456,4860984.169,134.37181
75,652178.0824,4860986.773,134.505609
76,652178.3845,4860990.333,134.17201
77,652177.5867,4860994.83,134.552759
78,652177.5819,4860995.674,134.526509
79,652176.7554,4860999.375,133.098784
80,652176.0842,4861000.157,133.559698
81,652172.8286,4861002.081,134.534985
82,652170.4356,4861005.367,134.327394
83,652169.4944,4861006.733,134.272055
84,652169.1356,4861008.735,134.381882
85,652169.6358,4861010.306,134.142533
86,652169.7344,4861013.043,134.074302
87,652169.2602,4861015.774,133.975961
88,652169.7093,4861020.367,133.428795
89,652170.4596,4861020.654,133.266381
90,652173.9703,4861022.4,133.483518
91,652176.5347,4861023.084,133.628072
92,652178.3035,4861022.484,133.671742
93,652180.8073,4861022.955,133.980958
94,652181.5148,4861023.84,133.99585
95,652182.2789,4861023.931,133.846558
96,652185.3848,4861024.205,133.349031
97,652185.7807,4861021.383,133.385254
98,652187.0954,4861019.573,133.597657
99,652190.4142,4861019.005,133.643509
100,652192.0961,4861017.392,132.999018
101,652192.9757,4861016.061,133.163376
102,652192.1599,4861013.284,133.556893
103,652191.5841,4861010.55,133.465313
104,652191.7493,4861009.128,133.508067
105,652193.0852,4861008.497,133.430787
106,652194.8389,4861007.356,133.814007
107,652197.1162,4861006.682,133.758708
108,652199.4516,4861006.66,133.705434
109,652202.2876,4861005.567,133.631081
110,652206.1928,4861004.657,133.607498
111,652208.2519,4861003.37,133.445157
112,652210.3305,4861001.207,133.065607
113,652214.9451,4861006.088,132.876252
114,652219.0078,4861008.201,133.032891
115,652228.2622,4861016.863,139.545
116,652229.2713,4861043.631,140.576
117,652252.685,4861060.537,134.754
118,652261.3199,4861059.42,140.881
119,652290.6857,4861063.229,136.083
120,652311.1772,4861062.864,132.586
121,652323.4289,4861056.209,132.168
122,652342.9308,4861046.052,131.741
123,652358.9559,4861030.34,131.855
124,652387.7658,4860984.824,131.381
125,652401.7387,4860963.725,131.635
126,652411.8275,4860939.089,133.549
127,652423.0088,4860925.835,130.468
128,652434.6291,4860899.606,130.036
129,652470.1047,4860894.657,129.706
130,652482.6794,4860864.754,129.875
