tagnum,Easting,Northing,elevation,precision
%d,%f,%f,%f,%s
230500,653448.9713,4859056.057,103.45129,20CM
230501,652142.9529,4860974.94,135.43066,20CM
230502,653447.4262,4859057.685,103.44569,20CM
230503,653422.6169,4859063.644,103.70955,20CM
230507,653423.6981,4859060.701,103.63604,20CM
230510,652143.0192,4860970.86,135.38259,20CM
230513,653447.1527,4859056.612,103.51754,20CM
230527,652166.5295,4860974.081,134.89808,20CM
230529,653449.1204,4859055.65,103.47455,20CM
230532,652172.9242,4860979.398,134.99548,20CM
230544,653445.0448,4859056.269,103.71793,20CM
230549,653445.3618,4859057.044,103.62558,20CM
230550,652170.8589,4860976.274,134.99933,20CM
230555,653450.5296,4859055.131,103.53723,20CM
230556,653443.4472,4859056.157,103.72607,20CM
230558,653421.0171,4859066.188,103.60349,20CM
230561,652166.9576,4860973.995,134.91221,20CM
230562,652142.8856,4860972.695,135.43535,20CM
230564,653445.5546,4859055.949,103.66461,20CM
230565,653421.3894,4859063.794,103.70762,20CM
230569,653442.9269,4859056.518,103.74332,20CM
230570,653418.6926,4859068.622,103.73834,20CM
230572,652141.8416,4860976.297,135.22327,20CM
230573,652167.2549,4860974.97,134.83583,20CM
230575,653421.9187,4859067.181,103.77303,20CM
230576,652142.0013,4860977.243,135.44332,20CM
230578,653448.8177,4859056.779,103.42531,20CM
230579,653448.0983,4859054.911,103.54108,20CM
230580,652144.2077,4860970.534,135.44627,20CM
230582,652140.248,4860978.444,135.26569,20CM
230591,652142.6887,4860973.726,135.47447,20CM
230594,653422.6307,4859061.105,103.59427,20CM
230597,652143.3934,4860973.032,135.48259,20CM
230607,652174.3607,4860978.285,134.82168,20CM
230608,652142.3994,4860976.399,135.35142,20CM
230610,652142.171,4860973.054,135.46453,20CM
230615,652141.9692,4860975.316,135.32748,20CM
230624,652143.0817,4860970.329,135.40802,20CM
230627,653421.332,4859064.217,103.71457,20CM
230628,653420.1346,4859067.376,103.74352,20CM
230633,653445.589,4859057.499,103.50508,20CM
230634,653446.8708,4859057.742,103.40595,20CM
230636,652141.7513,4860974.197,135.47286,20CM
230637,652170.106,4860976.886,134.89955,20CM
230639,652173.6142,4860977.504,134.89214,20CM
230641,653447.8938,4859055.435,103.52314,20CM
230643,653450.5835,4859055.918,103.45445,20CM
230644,653422.9838,4859064.608,103.77722,X
230647,652142.8468,4860970.503,135.44851,20CM
230648,652172.473,4860976.76,134.94831,20CM
230649,652170.5623,4860975.748,134.94546,20CM
230651,652170.893,4860977.004,134.96487,20CM
230653,653443.6311,4859056.253,103.71174,20CM
230657,653424.1235,4859061.723,103.70308,20CM
230659,653450.5351,4859056.88,103.29859,20CM
230660,652142.1533,4860973.913,135.45341,20CM
230661,653422.9703,4859059.726,103.66797,20CM
230662,653419.93,4859068.311,103.69932,20CM
230666,652166.465,4860973.516,134.96307,20CM
230668,653450.0705,4859055.406,103.47946,20CM
230670,653449.3457,4859055.215,103.52558,20CM
230672,652142.7321,4860973.354,135.43896,20CM
230682,652172.2521,4860976.926,134.99334,20CM
230684,653422.5699,4859062.417,103.5777,20CM
230687,653441.3831,4859055.692,103.66436,20CM
230698,653422.8999,4859065.024,103.69532,20CM
230703,652142.4485,4860975.798,135.27282,20CM
230712,653423.1604,4859063.865,103.71349,20CM
230718,652166.6899,4860972.904,134.93193,20CM
230732,653444.4102,4859054.765,103.52803,20CM
230739,653443.8136,4859055.146,103.6036,20CM
230741,653419.9093,4859068.013,103.70322,20CM
230743,652142.4086,4860969.815,135.30805,20CM
230750,652172.5403,4860979.195,135.03621,20CM
230755,653421.5569,4859062.745,103.6405,20CM
230763,653422.0568,4859064.985,103.74943,20CM
230772,653449.9848,4859057.274,103.39353,20CM
230781,653448.4912,4859056.324,103.44382,20CM
230783,653442.4436,4859056.425,103.67975,20CM
230784,652143.0807,4860971.282,135.39553,20CM
230786,653421.6555,4859063.525,103.68203,20CM
230789,653448.3044,4859056.426,103.4685,20CM
230797,653421.0703,4859065.82,103.69075,20CM
230800,653420.4646,4859067.23,103.65932,20CM
230803,653422.5337,4859059.056,103.65654,20CM
230806,653450.6344,4859056.371,103.30943,20CM
230809,653443.4635,4859056.665,103.7176,20CM
230821,652167.4185,4860972.608,134.86902,20CM
230824,653419.1469,4859068.154,103.74598,20CM
230825,653422.6825,4859062.051,103.53883,20CM
230826,653420.4837,4859068.648,103.68137,20CM
230829,653441.2459,4859053.953,103.5297,20CM
230830,653441.0658,4859056.424,103.62032,20CM
230838,653441.8418,4859054.858,103.66595,20CM
230840,652140.8231,4860979.185,135.25329,20CM
230844,653442.7852,4859054.588,103.64026,20CM
230852,653420.3405,4859066.857,103.69995,20CM
230853,653444.5046,4859057.162,103.59207,20CM
230854,653449.3617,4859058.42,103.42612,20CM
230855,653447.4334,4859056.004,103.535,20CM
230857,653440.804,4859054.887,103.5334,20CM
230864,652169.7293,4860974.678,134.90875,20CM
230867,653444.3599,4859056.016,103.73952,20CM
230869,653442.1588,4859054.651,103.68358,20CM
230872,652143.3005,4860969.719,135.33371,20CM
230873,652172.9497,4860976.384,134.93419,20CM
230883,652168.7053,4860974.673,134.83834,20CM
230887,652142.7919,4860974.843,135.40291,20CM
230894,652141.1051,4860976.16,135.34336,20CM
230895,653419.6468,4859068.782,103.70331,20CM
230897,653445.3779,4859055.276,103.5526,20CM
230900,652142.9539,4860975.422,135.38022,20CM
230901,653422.0273,4859066.736,103.67982,20CM
230903,653420.365,4859066.094,103.72482,20CM
230912,653442.1479,4859054.37,103.61509,20CM
230914,653445.9083,4859056.063,103.58542,20CM
230919,652143.7688,4860969.096,135.18299,20CM
230933,653449.0561,4859056.255,103.39606,20CM
230935,653422.3865,4859066.081,103.68103,20CM
230942,653443.0691,4859054.331,103.66107,20CM
230943,653423.4008,4859061.076,103.60712,20CM
230944,653422.8506,4859062.671,103.61703,20CM
230947,653421.3474,4859065.902,103.68033,20CM
230950,653453.2187,4859056.332,103.29322,20CM
230952,653420.6715,4859067.306,103.66745,20CM
230953,653421.7884,4859062.975,103.58469,20CM
230956,653448.8252,4859056.307,103.45273,20CM
230960,653450.4377,4859056.445,103.3439,20CM
230963,653441.3995,4859054.715,103.58323,20CM
230965,652167.4708,4860974.064,134.96984,20CM
230966,653418.884,4859068.864,103.74039,20CM
230967,652172.3183,4860977.171,134.98611,20CM
230970,652141.6905,4860976.097,135.21207,20CM
230973,652169.4093,4860976.606,134.94705,20CM
230975,652169.0296,4860974.967,134.82968,20CM
230976,652172.8369,4860978.337,135.04332,20CM
230977,652174.3729,4860977.877,134.81681,20CM
230978,652172.6567,4860976.947,134.96796,20CM
230983,652143.2951,4860975.089,135.46293,20CM
230984,653443.89,4859055.542,103.61711,20CM
230985,652168.5499,4860973.491,134.97208,20CM
230986,653447.0359,4859054.986,103.75422,20CM
230987,652142.8925,4860974.205,135.46404,20CM
230990,653422.3747,4859062.201,103.58893,20CM
230992,652143.0214,4860971.626,135.41756,20CM
230994,652167.5071,4860972.941,134.83901,20CM
230995,652168.1297,4860972.972,134.90079,20CM
230998,652172.5257,4860977.807,134.99155,20CM
230999,652169.7616,4860975.187,135.07127,20CM
231003,653446.1926,4859056.962,103.6389,20CM
231004,652141.1473,4860978.972,135.26216,20CM
231006,652169.2712,4860976.089,134.99122,20CM
231008,652174.0561,4860978.361,134.86828,20CM
231010,652142.9626,4860975.749,135.36266,20CM
231014,652171.0555,4860978.38,135.01079,20CM
231015,652173.2582,4860979.348,134.93281,20CM
231020,653419.1104,4859068.492,103.75812,20CM
