tagnum,Northing,Easting,elevation,precision
%d,%f,%f,%f,%s
230732,4859006.925,653495.2516,102.4067322,1M
230500,4859015.015,653482.5517,102.809904,20CM
230502,4859028.326,653470.7944,103.1431222,20CM
230503,4859060.507,653426.6841,103.3351476,20CM
230507,4859013.964,653483.4776,102.6864474,20CM
230529,4859052.595,653460.2031,103.1034154,20CM
230556,4859051.064,653460.2471,103.4132788,1M
230558,4859066.012,653421.1884,103.6522313,20CM
230564,4859056.006,653445.4392,103.6785191,20CM
230565,4859058.256,653443.2381,103.5638168,20CM
230570,4859068.008,653419.4818,103.7211677,20CM
230575,4859054.724,653436.0277,103.3442273,20CM
230578,4859056.698,653448.8169,103.4855794,20CM
230579,4859054.472,653452.1479,103.4274517,20CM
230627,4859058.125,653426.6847,103.2731107,20CM
230628,4859067.563,653420.222,103.7021206,20CM
230633,4859008.54,653494.2809,102.4750873,20CM
230634,4859044.371,653463.0332,103.152336,1M
230641,4859039.255,653464.0949,103.1108975,20CM
230653,4859045.166,653463.4171,103.0463323,1M
230659,4859056.928,653450.6408,103.3008109,20CM
230661,4859058.179,653422.2295,103.5977995,20CM
230662,4859068.162,653420.0458,103.6961408,20CM
230668,4859013.893,653482.0401,102.6931702,20CM
230684,4859051.172,653461.7602,103.1585092,20CM
230691,4859006.077,653496.1877,102.3702623,20CM
230697,4859048.767,653463.7151,102.8557494,1M
230698,4859036.993,653468.6143,103.375169,20CM
230712,4859038.408,653464.7208,103.0886173,20CM
230739,4859053.74,653462.1869,102.9311924,20CM
230741,4859067.887,653420.0667,103.6977273,20CM
230755,4859052.406,653461.4752,103.0623399,20CM
230763,4859058.184,653423.3889,103.6346276,20CM
230781,4859056.425,653448.6527,103.4361305,20CM
230786,4859056.535,653430.3045,103.4717643,20CM
230789,4859056.529,653448.3142,103.4496384,20CM
230799,4859060.195,653423.043,103.6594126,20CM
230800,4859058.117,653427.7825,103.2204263,20CM
230824,4859064.281,653422.3106,103.6246662,20CM
230825,4859061.967,653422.6028,103.5260319,20CM
230826,4859066.765,653421.5446,103.7111065,20CM
230830,4859008.994,653484.8345,102.3653859,1M
230844,4859054.742,653442.7207,103.631694,20CM
230853,4859014.727,653482.7456,102.787289,20CM
230855,4859056.156,653447.4019,103.5535051,20CM
230857,4859013.01,653511.5304,102.2968044,1M
230867,4859009.913,653487.1543,102.5751953,20CM
230869,4859053.958,653443.2032,103.4313317,20CM
230895,4859068.703,653419.6482,103.7067016,20CM
230901,4859056.964,653449.4033,103.3868116,20CM
230903,4859065.846,653420.3989,103.7104921,20CM
230912,4859054.789,653444.3597,103.5805985,20CM
230914,4859056.119,653445.8729,103.5841774,20CM
230923,4859058.411,653429.1267,103.4984596,20CM
230953,4859049.722,653462.1574,103.3294025,1M
230935,4859040.14,653465.7108,102.9716395,20CM
230942,4859054.562,653443.1303,103.6787924,20CM
230944,4859060.417,653427.6754,103.4949071,20CM
230947,4859066.022,653422.0269,103.7266998,20CM
230952,4859049.49,653463.6206,102.7532025,1M
230956,4859029.959,653471.0339,103.1833786,20CM
